Name,Author,User Rating,Reviews,Price,Year,Genre,Price Category,Popularidad,Años en Top,Author Frequency,Rating Category,Rating x Review,Log Reviews
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,4.6,5013,17,2009,Non Fiction,Intermedio,Media,1,1,Bueno,23059.8,8.519989278718239
"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",Adult Coloring Book Designs,4.5,2313,4,2016,Non Fiction,Barato,Baja,1,1,Bueno,10408.5,7.746732907753622
Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,4.6,2925,6,2015,Non Fiction,Barato,Baja,1,2,Bueno,13454.999999999998,7.98139158158007
Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,4.4,2951,6,2015,Non Fiction,Barato,Baja,1,2,Regular,12984.400000000001,7.990238185720363
"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley…",Coloring Books for Adults,4.5,2426,8,2015,Non Fiction,Barato,Baja,1,1,Bueno,10917.0,7.794411205726601
Alexander Hamilton,Ron Chernow,4.8,9198,13,2016,Non Fiction,Intermedio,Media,1,1,Excelente,44150.4,9.126850061477157
All the Light We Cannot See,Anthony Doerr,4.6,36348,14,2014,Fiction,Intermedio,Muy alta,2,2,Bueno,167200.8,10.50092197226688
All the Light We Cannot See,Anthony Doerr,4.6,36348,14,2015,Fiction,Intermedio,Muy alta,2,2,Bueno,167200.8,10.50092197226688
Allegiant,Veronica Roth,3.9,6310,13,2013,Fiction,Intermedio,Media,1,4,Regular,24609.0,8.75004942158424
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,4.6,15921,9,2015,Non Fiction,Barato,Media,1,1,Bueno,73236.59999999999,9.675457079648524
And the Mountains Echoed,Khaled Hosseini,4.3,12159,13,2013,Fiction,Intermedio,Media,1,1,Regular,52283.7,9.405907155520158
Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,4.6,798,5,2009,Non Fiction,Barato,Baja,1,3,Bueno,3670.7999999999997,6.683360945766275
Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.7,9374,9,2017,Non Fiction,Barato,Media,1,1,Bueno,44057.8,9.14580185083861
"Autobiography of Mark Twain, Vol. 1",Mark Twain,4.2,491,14,2010,Non Fiction,Intermedio,Baja,1,1,Regular,2062.2000000000003,6.198478716492308
Baby Touch and Feel: Animals,DK,4.6,5360,5,2015,Non Fiction,Barato,Media,1,2,Bueno,24655.999999999996,8.586905803827538
Balance (Angie's Extreme Stress Menders),Angie Grace,4.6,1909,11,2015,Non Fiction,Intermedio,Baja,1,1,Bueno,8781.4,7.554858521040676
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,4.8,1296,24,2012,Non Fiction,Caro,Baja,1,3,Excelente,6220.8,7.167809184316444
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,4.7,615,21,2010,Non Fiction,Caro,Baja,1,3,Bueno,2890.5,6.423246963533519
Becoming,Michelle Obama,4.8,61133,11,2018,Non Fiction,Intermedio,Muy alta,2,2,Excelente,293438.39999999997,11.02082345520234
Becoming,Michelle Obama,4.8,61133,11,2019,Non Fiction,Intermedio,Muy alta,2,2,Excelente,293438.39999999997,11.02082345520234
Being Mortal: Medicine and What Matters in the End,Atul Gawande,4.8,11113,15,2015,Non Fiction,Intermedio,Media,1,1,Excelente,53342.4,9.315960853839867
Between the World and Me,Ta-Nehisi Coates,4.7,10070,13,2015,Non Fiction,Intermedio,Media,2,2,Bueno,47329.0,9.217415285648144
Between the World and Me,Ta-Nehisi Coates,4.7,10070,13,2016,Non Fiction,Intermedio,Media,2,2,Bueno,47329.0,9.217415285648144
Born to Run,Bruce Springsteen,4.7,3729,18,2016,Non Fiction,Intermedio,Baja,1,1,Bueno,17526.3,8.224163512637862
"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,4.6,9769,13,2009,Fiction,Intermedio,Media,1,7,Bueno,44937.399999999994,9.187071745036828
"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,4.5,471,8,2010,Non Fiction,Barato,Baja,1,3,Bueno,2119.5,6.156978985585555
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,5,2017,Fiction,Barato,Media,2,2,Excelente,70285.6,9.571156728415465
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,5,2019,Fiction,Barato,Media,2,2,Excelente,70285.6,9.571156728415465
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,4.8,4505,0,2011,Fiction,Barato,Media,1,12,Excelente,21624.0,8.41316512099219
Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),Sasha O'Hara,4.6,10369,4,2016,Non Fiction,Barato,Media,1,1,Bueno,47697.399999999994,9.246672301223573
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8,16244,18,2019,Non Fiction,Intermedio,Media,1,1,Excelente,77971.2,9.6955404481032
Capital in the Twenty First Century,Thomas Piketty,4.5,2884,28,2014,Non Fiction,Caro,Baja,1,1,Bueno,12978.0,7.9672801789422
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11,2010,Fiction,Intermedio,Alta,3,11,Bueno,106285.8,10.026368681911944
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11,2011,Fiction,Intermedio,Alta,3,11,Bueno,106285.8,10.026368681911944
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11,2012,Fiction,Intermedio,Alta,3,11,Bueno,106285.8,10.026368681911944
Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Chrissy Teigen,4.7,4761,16,2016,Non Fiction,Intermedio,Media,1,1,Bueno,22376.7,8.468423027046809
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14,2009,Non Fiction,Intermedio,Baja,3,3,Bueno,7247.400000000001,7.341483852363161
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14,2010,Non Fiction,Intermedio,Baja,3,3,Bueno,7247.400000000001,7.341483852363161
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14,2011,Non Fiction,Intermedio,Baja,3,3,Bueno,7247.400000000001,7.341483852363161
Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,4.3,6143,8,2018,Fiction,Barato,Media,1,1,Regular,26414.899999999998,8.723231274827508
Creative Haven Creative Cats Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,4022,4,2015,Non Fiction,Barato,Media,1,2,Excelente,19305.6,8.299783171949787
Creative Haven Owls Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,3871,5,2015,Non Fiction,Barato,Baja,1,2,Excelente,18580.8,8.261526448396468
Cutting for Stone,Abraham Verghese,4.6,4866,11,2010,Fiction,Intermedio,Media,2,2,Bueno,22383.6,8.490233009833455
Cutting for Stone,Abraham Verghese,4.6,4866,11,2011,Fiction,Intermedio,Media,2,2,Bueno,22383.6,8.490233009833455
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,4.8,1329,10,2013,Non Fiction,Intermedio,Baja,1,1,Excelente,6379.2,7.1929342212158
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,4.4,4642,13,2013,Non Fiction,Intermedio,Media,1,4,Regular,20424.800000000003,8.443115988019922
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,4.6,1541,4,2009,Fiction,Barato,Baja,1,4,Bueno,7088.599999999999,7.340835554123275
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,4.3,1924,8,2010,Fiction,Barato,Baja,1,4,Regular,8273.199999999999,7.562681246721884
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,4.2,2094,4,2011,Fiction,Barato,Baja,1,4,Regular,8794.800000000001,7.647308832356238
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2015,Fiction,Barato,Media,4,4,Excelente,52425.6,9.298625936843543
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2016,Fiction,Barato,Media,4,4,Excelente,52425.6,9.298625936843543
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2017,Fiction,Barato,Media,4,4,Excelente,52425.6,9.298625936843543
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2018,Fiction,Barato,Media,4,4,Excelente,52425.6,9.298625936843543
Decision Points,George W. Bush,4.6,2137,17,2010,Non Fiction,Intermedio,Baja,1,1,Bueno,9830.199999999999,7.6676260915849905
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,4.6,1651,15,2010,Non Fiction,Intermedio,Baja,1,1,Bueno,7594.599999999999,7.409741954080923
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,6679,105,2013,Non Fiction,Caro,Media,2,2,Bueno,30055.5,8.806873266530692
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,6679,105,2014,Non Fiction,Caro,Media,2,2,Bueno,30055.5,8.806873266530692
"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,4.8,6812,0,2013,Fiction,Barato,Media,1,12,Excelente,32697.6,8.826587830773668
Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,4.8,3837,15,2009,Fiction,Intermedio,Baja,1,12,Excelente,18417.6,8.252706676567644
Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,4.8,6540,22,2014,Fiction,Caro,Media,1,12,Excelente,31392.0,8.785845337961213
Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),M Prefontaine,4.6,7955,5,2019,Non Fiction,Barato,Media,1,1,Bueno,36593.0,8.981681639973862
Divergent,Veronica Roth,4.6,27098,15,2013,Fiction,Intermedio,Muy alta,2,4,Bueno,124650.79999999999,10.207252105817954
Divergent,Veronica Roth,4.6,27098,15,2014,Fiction,Intermedio,Muy alta,2,4,Bueno,124650.79999999999,10.207252105817954
Divergent / Insurgent,Veronica Roth,4.5,17684,6,2014,Fiction,Barato,Alta,1,4,Bueno,79578.0,9.780472101639582
"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",Zhi Gang Sha,4.6,37,6,2009,Non Fiction,Barato,Baja,1,2,Bueno,170.2,3.6375861597263857
Doctor Sleep: A Novel,Stephen King,4.7,15845,13,2013,Fiction,Intermedio,Media,1,4,Bueno,74471.5,9.670672381525188
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,4.8,3181,12,2009,Fiction,Intermedio,Baja,1,12,Excelente,15268.8,8.065265208897733
Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Dav Pilkey,4.9,5062,6,2018,Fiction,Barato,Media,1,7,Excelente,24803.800000000003,8.529714471969909
Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Dav Pilkey,4.9,4786,8,2017,Fiction,Barato,Media,1,7,Excelente,23451.4,8.473659189392508
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,7235,4,2018,Fiction,Barato,Media,2,7,Excelente,35451.5,8.886823846515187
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,7235,4,2019,Fiction,Barato,Media,2,7,Excelente,35451.5,8.886823846515187
Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,4.9,12619,8,2019,Fiction,Barato,Media,1,7,Excelente,61833.100000000006,9.443038136095204
Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Dav Pilkey,4.9,9089,8,2019,Fiction,Barato,Media,1,7,Excelente,44536.100000000006,9.114930187171524
Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,4.9,5470,6,2018,Fiction,Barato,Media,1,7,Excelente,26803.000000000004,8.607216694063826
Double Down (Diary of a Wimpy Kid #11),Jeff Kinney,4.8,5118,20,2016,Fiction,Intermedio,Media,1,12,Excelente,24566.399999999998,8.540714386457584
Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),Marty Noble,4.6,2134,5,2015,Non Fiction,Barato,Baja,1,1,Bueno,9816.4,7.666221925662725
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,4.5,2525,16,2010,Non Fiction,Intermedio,Baja,1,1,Bueno,11362.5,7.8343923029104365
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,4.5,720,1,2009,Non Fiction,Barato,Baja,1,2,Bueno,3240.0,6.580639137284949
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,4.3,956,14,2009,Non Fiction,Intermedio,Baja,1,2,Regular,4110.8,6.863803391452954
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,6346,9,2011,Non Fiction,Barato,Media,2,2,Bueno,28557.0,8.75573753930647
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,6346,9,2012,Non Fiction,Barato,Media,2,2,Bueno,28557.0,8.75573753930647
Eclipse (Twilight Sagas),Stephenie Meyer,4.7,5505,7,2009,Fiction,Barato,Media,1,7,Bueno,25873.5,8.613593685702552
Eclipse (Twilight),Stephenie Meyer,4.7,5505,18,2009,Fiction,Intermedio,Media,1,7,Bueno,25873.5,8.613593685702552
Educated: A Memoir,Tara Westover,4.7,28729,15,2018,Non Fiction,Intermedio,Muy alta,2,2,Bueno,135026.30000000002,10.265697151973335
Educated: A Memoir,Tara Westover,4.7,28729,15,2019,Non Fiction,Intermedio,Muy alta,2,2,Bueno,135026.30000000002,10.265697151973335
"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…",Johanna Basford,4.7,5413,9,2015,Non Fiction,Barato,Media,1,2,Bueno,25441.100000000002,8.596743470174246
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,Fiction,Barato,Media,2,2,Bueno,49316.6,9.280052984387483
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2018,Fiction,Barato,Media,2,2,Bueno,49316.6,9.280052984387483
Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,4.7,4370,15,2016,Fiction,Intermedio,Media,1,6,Bueno,20539.0,8.382747094863314
Fear: Trump in the White House,Bob Woodward,4.4,6042,2,2018,Non Fiction,Barato,Media,1,1,Regular,26584.800000000003,8.706655856361559
Fifty Shades Darker,E L James,4.4,23631,7,2012,Fiction,Barato,Alta,1,6,Regular,103976.40000000001,10.07035700477116
Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,4.5,20262,11,2012,Fiction,Intermedio,Alta,1,6,Bueno,91179.0,9.91655184186533
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,47265,14,2012,Fiction,Intermedio,Muy alta,2,6,Regular,179607.0,10.763546499940231
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,47265,14,2013,Fiction,Intermedio,Muy alta,2,6,Regular,179607.0,10.763546499940231
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,4.5,13964,32,2012,Fiction,Caro,Media,1,6,Bueno,62838.0,9.544309478379278
Fire and Fury: Inside the Trump White House,Michael Wolff,4.2,13677,6,2018,Non Fiction,Barato,Media,1,1,Regular,57443.4,9.523543981658042
First 100 Words,Roger Priddy,4.7,17323,4,2014,Non Fiction,Barato,Alta,5,5,Bueno,81418.1,9.759848102334518
First 100 Words,Roger Priddy,4.7,17323,4,2015,Non Fiction,Barato,Alta,5,5,Bueno,81418.1,9.759848102334518
First 100 Words,Roger Priddy,4.7,17323,4,2016,Non Fiction,Barato,Alta,5,5,Bueno,81418.1,9.759848102334518
First 100 Words,Roger Priddy,4.7,17323,4,2017,Non Fiction,Barato,Alta,5,5,Bueno,81418.1,9.759848102334518
First 100 Words,Roger Priddy,4.7,17323,4,2018,Non Fiction,Barato,Alta,5,5,Bueno,81418.1,9.759848102334518
Food Rules: An Eater's Manual,Michael Pollan,4.4,1555,9,2010,Non Fiction,Barato,Baja,1,1,Regular,6842.000000000001,7.349873704738337
Frozen (Little Golden Book),RH Disney,4.7,3642,0,2014,Fiction,Barato,Baja,1,2,Bueno,17117.4,8.200562797008564
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,4.4,1215,9,2010,Non Fiction,Barato,Baja,1,1,Regular,5346.0,7.103322062526113
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5,2011,Fiction,Barato,Media,3,3,Bueno,25732.399999999998,8.629628620746026
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5,2012,Fiction,Barato,Media,3,3,Bueno,25732.399999999998,8.629628620746026
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5,2013,Fiction,Barato,Media,3,3,Bueno,25732.399999999998,8.629628620746026
George Washington's Sacred Fire,Peter A. Lillback,4.5,408,20,2010,Non Fiction,Intermedio,Baja,1,1,Bueno,1836.0,6.013715156042802
George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,4.6,4799,16,2013,Non Fiction,Intermedio,Media,1,1,Bueno,22075.399999999998,8.476371196895983
Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2015,Fiction,Barato,Media,5,5,Excelente,67382.4,9.549594449971952
Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2016,Fiction,Barato,Media,5,5,Excelente,67382.4,9.549594449971952
Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2017,Fiction,Barato,Media,5,5,Excelente,67382.4,9.549594449971952
Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2018,Fiction,Barato,Media,5,5,Excelente,67382.4,9.549594449971952
Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2019,Fiction,Barato,Media,5,5,Excelente,67382.4,9.549594449971952
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,4.6,7660,12,2019,Non Fiction,Intermedio,Media,1,3,Bueno,35236.0,8.94389780251682
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,22288,12,2018,Non Fiction,Intermedio,Alta,2,3,Bueno,102524.79999999999,10.011848562206193
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,22288,12,2019,Non Fiction,Intermedio,Alta,2,3,Bueno,102524.79999999999,10.011848562206193
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,4.6,1365,11,2009,Non Fiction,Intermedio,Baja,1,3,Bueno,6278.999999999999,7.2196420401307355
Go Set a Watchman: A Novel,Harper Lee,3.6,14982,19,2015,Fiction,Intermedio,Media,1,6,Regular,53935.200000000004,9.614671504043145
Go the F**k to Sleep,Adam Mansbach,4.8,9568,9,2011,Fiction,Barato,Media,1,1,Excelente,45926.4,9.166283985779263
Going Rogue: An American Life,Sarah Palin,4.6,1636,6,2009,Non Fiction,Barato,Baja,1,1,Bueno,7525.599999999999,7.400620577371135
Gone Girl,Gillian Flynn,4.0,57271,10,2012,Fiction,Intermedio,Muy alta,3,3,Regular,229084.0,10.955567127076021
Gone Girl,Gillian Flynn,4.0,57271,10,2013,Fiction,Intermedio,Muy alta,3,3,Regular,229084.0,10.955567127076021
Gone Girl,Gillian Flynn,4.0,57271,9,2014,Fiction,Barato,Muy alta,3,3,Regular,229084.0,10.955567127076021
Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Pretty Simple Press,4.6,10141,6,2019,Non Fiction,Barato,Media,1,1,Bueno,46648.6,9.224440496354964
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2009,Non Fiction,Intermedio,Baja,4,4,Bueno,15556.5,8.148445666243235
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2010,Non Fiction,Intermedio,Baja,4,4,Bueno,15556.5,8.148445666243235
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2011,Non Fiction,Intermedio,Baja,4,4,Bueno,15556.5,8.148445666243235
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2012,Non Fiction,Intermedio,Baja,4,4,Bueno,15556.5,8.148445666243235
Goodnight Moon,Margaret Wise Brown,4.8,8837,5,2017,Fiction,Barato,Media,3,3,Excelente,42417.6,9.086815885690685
Goodnight Moon,Margaret Wise Brown,4.8,8837,5,2018,Fiction,Barato,Media,3,3,Excelente,42417.6,9.086815885690685
Goodnight Moon,Margaret Wise Brown,4.8,8837,5,2019,Fiction,Barato,Media,3,3,Excelente,42417.6,9.086815885690685
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038,7,2012,Fiction,Barato,Media,2,2,Excelente,34486.200000000004,8.85922139360813
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038,7,2013,Fiction,Barato,Media,2,2,Excelente,34486.200000000004,8.85922139360813
"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",David Perlmutter MD,4.6,5972,10,2014,Non Fiction,Intermedio,Media,1,1,Bueno,27471.199999999997,8.695004592732307
Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),E L James,4.4,25624,14,2015,Fiction,Intermedio,Muy alta,1,6,Regular,112745.6,10.151323716440709
Guts,Raina Telgemeier,4.8,5476,7,2019,Non Fiction,Barato,Media,1,1,Excelente,26284.8,8.608312784783722
Hamilton: The Revolution,Lin-Manuel Miranda,4.9,5867,54,2016,Non Fiction,Caro,Media,1,1,Excelente,28748.300000000003,8.677269139262872
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,4.8,4148,11,2013,Non Fiction,Intermedio,Media,1,1,Excelente,19910.399999999998,8.330622620332868
"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",J.K. Rowling,4.9,19622,30,2016,Fiction,Caro,Alta,1,6,Excelente,96147.8,9.884457626629322
"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",J.K. Rowling,4.0,23973,12,2016,Fiction,Intermedio,Alta,1,6,Regular,95892.0,10.084725188767045
"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",J. K. Rowling,4.9,7758,18,2019,Fiction,Intermedio,Media,1,2,Excelente,38014.200000000004,8.95660873889395
"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",J.K. Rowling,4.9,3146,30,2017,Fiction,Caro,Baja,1,6,Excelente,15415.400000000001,8.054204897064407
"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",J.K. Rowling,4.9,10052,22,2016,Fiction,Caro,Media,1,6,Excelente,49254.8,9.215626376405421
Harry Potter Coloring Book,Scholastic,4.7,3564,9,2015,Non Fiction,Barato,Baja,1,2,Bueno,16750.8,8.178919332848396
Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,4.8,13471,52,2016,Fiction,Caro,Media,1,2,Excelente,64660.799999999996,9.508368736482108
Have a Little Faith: A True Story,Mitch Albom,4.8,1930,4,2009,Non Fiction,Barato,Baja,1,1,Excelente,9264.0,7.565793282428515
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779,10,2011,Non Fiction,Intermedio,Media,2,2,Bueno,74161.3,9.666498594399865
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779,10,2012,Non Fiction,Intermedio,Media,2,2,Bueno,74161.3,9.666498594399865
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,15526,14,2016,Non Fiction,Intermedio,Media,2,2,Regular,68314.40000000001,9.65033572298117
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,15526,14,2017,Non Fiction,Intermedio,Media,2,2,Regular,68314.40000000001,9.65033572298117
Homebody: A Guide to Creating Spaces You Never Want to Leave,Joanna Gaines,4.8,3776,22,2018,Non Fiction,Caro,Baja,1,2,Excelente,18124.8,8.236685322712457
